FID_4,FID_1,Count,Length,Area,Cell_Index,Mesh_Name,FID_SGHUAV,Assigned_c,Shape_Leng,Shape_Area
678,678.0,6.0,45.6351753887,131.089376713,168.0,A2,952,HERB02,4.27360000461,0.92566852055
678,678.0,6.0,45.6351753887,131.089376713,168.0,A2,953,HERB02,43.9250210737,49.870749505
678,678.0,6.0,45.6351753887,131.089376713,168.0,A2,954,BARELAND01,40.4136000071,24.0806457715
678,678.0,6.0,45.6351753887,131.089376713,168.0,A2,989,HERB02,27.9521999992,10.6064178269
678,678.0,6.0,45.6351753887,131.089376713,168.0,A2,990,HERB02,25.3172429581,20.6739446123
679,679.0,5.0,40.0,100.0,169.0,A2,850,BARELAND01,28.9817999955,26.4045662518
679,679.0,5.0,40.0,100.0,169.0,A2,852,BARELAND01,6.04919999652,0.29529080837
679,679.0,5.0,40.0,100.0,169.0,A2,909,HERB02,30.7876000013,9.91097927104
679,679.0,5.0,40.0,100.0,169.0,A2,950,BARELAND01,29.8262000009,22.5433468284
679,679.0,5.0,40.0,100.0,169.0,A2,952,HERB02,44.6491999924,29.1854440341
679,679.0,5.0,40.0,100.0,169.0,A2,953,HERB02,17.0153999962,4.8292657791
679,679.0,5.0,40.0,100.0,169.0,A2,954,BARELAND01,17.3321999963,6.83110702725
680,680.0,5.0,40.0,100.0,170.0,A2,849,BARELAND01,4.70220000297,0.689830749286
680,680.0,5.0,40.0,100.0,170.0,A2,850,BARELAND01,33.9403999951,31.8740981818
680,680.0,5.0,40.0,100.0,170.0,A2,909,HERB02,0.981599999592,0.00704479999904
680,680.0,5.0,40.0,100.0,170.0,A2,949,BARELAND01,30.5993999988,29.1540305504
680,680.0,5.0,40.0,100.0,170.0,A2,950,BARELAND01,26.553799998,27.2688538735
680,680.0,5.0,40.0,100.0,170.0,A2,951,BARELAND01,17.4632000029,11.006141845
681,681.0,5.0,40.0,100.0,171.0,A2,849,BARELAND01,32.372599991,27.2814667211
681,681.0,5.0,40.0,100.0,171.0,A2,850,BARELAND01,2.08079999872,0.0339193693552
681,681.0,5.0,40.0,100.0,171.0,A2,908,BARELAND01,13.0018000063,3.00951769183
681,681.0,5.0,40.0,100.0,171.0,A2,948,BARELAND01,14.301400004,6.16724618577
681,681.0,5.0,40.0,100.0,171.0,A2,949,BARELAND01,40.1859999951,62.7238341021
681,681.0,5.0,40.0,100.0,171.0,A2,951,BARELAND01,5.60200000182,0.78401592986
682,682.0,5.0,40.0,100.0,172.0,A2,849,BARELAND01,14.4237999953,5.92112916511
682,682.0,5.0,40.0,100.0,172.0,A2,908,BARELAND01,41.8726000004,73.1771790954
682,682.0,5.0,40.0,100.0,172.0,A2,946,BARELAND01,3.90020000562,0.156733181378
682,682.0,5.0,40.0,100.0,172.0,A2,947,BARELAND01,17.4854000062,8.32550553486
682,682.0,5.0,40.0,100.0,172.0,A2,948,BARELAND01,19.9304000083,12.4194530232
683,683.0,5.0,40.0,100.0,173.0,A2,906,BARELAND01,28.694600001,22.3577671563
683,683.0,5.0,40.0,100.0,173.0,A2,907,BARELAND01,19.0320000052,14.3620225076
683,683.0,5.0,40.0,100.0,173.0,A2,908,BARELAND01,40.4610000029,40.0903519185
683,683.0,5.0,40.0,100.0,173.0,A2,945,BARELAND01,25.9046000056,18.9081911234
683,683.0,5.0,40.0,100.0,173.0,A2,946,BARELAND01,5.58360000141,0.464872311784
683,683.0,5.0,40.0,100.0,173.0,A2,947,BARELAND01,3.35880000144,0.30148932038
683,683.0,5.0,40.0,100.0,173.0,A2,986,BARELAND01,10.5011999998,3.51530566211
684,684.0,5.0,40.0,100.0,174.0,A2,904,HERB02,3.17879999988,0.164463409183
684,684.0,5.0,40.0,100.0,174.0,A2,905,HERB02,12.8814000022,3.00872190092
684,684.0,5.0,40.0,100.0,174.0,A2,907,BARELAND01,10.9113999959,3.79968592751
684,684.0,5.0,40.0,100.0,174.0,A2,944,HERB02,44.0066000018,72.8522903918
684,684.0,5.0,40.0,100.0,174.0,A2,945,BARELAND01,24.4471999984,20.1748383706
685,685.0,5.0,40.0,100.0,175.0,A2,903,BARELAND01,9.53559999727,3.36296645774
685,685.0,5.0,40.0,100.0,175.0,A2,904,HERB02,0.906199997291,0.0266287797346
